y,YYYYMM,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10,factor11,factor12
-7,201206,-1.2,-2.8,4.7,47,1,-1.5,17.5,-0.6,-5.8,3.2,-6.7,-0.6
-2,201207,-6.4,-2.2,4.7,-10,-1,-0.8,12.82051282,-0.6,-8.4,-3.3,-10.5,-4.4
2,201208,9.9,1.9,1.4,-54,0,1.2,25,-0.5,-3.7,-3.6,-14.7,-10
-2.4,201209,-3.6,-7,0.7,-48,1,0.8,27.77777778,-0.4,-4.1,-3.5,-13.3,-11.6
-2.2,201210,-2.5,-8.5,0.7,3,-2,0.1,22.91666667,-0.4,-6.9,-2.9,-13.9,-11.1
13.7,201211,11.7,5.2,-3.5,12,-1,-2.1,30,-0.5,-5,-4.2,2.5,0.1
4.5,201212,-0.5,0.9,-3.5,46,2,-0.2,25,-0.6,-1.2,-2.8,-0.7,0.8
-5.5,201301,-3.4,-2.6,-3.5,26,0,0.5,7.692307692,-0.6,5.4,6.6,-0.1,-1.1
9.6,201302,-8.9,1.3,-0.4,-69,1,0.4,12.5,-0.9,7.3,9.4,-0.6,-0.6
23.1,201303,6.8,-4,0.2,-99,1,2.8,4.87804878,-1,5.5,7.6,-1.1,0.6
-3,201304,1.8,2.1,0.2,50,-1,0.2,6.818181818,-0.7,5.6,7.8,-2.6,1.3
10.9,201305,-5.1,2.1,3.5,-90,0,0.2,15.2173913,-0.2,8.5,6.9,-2.9,1.5
20.5,201306,9.3,9.7,4.1,-18,1,1.1,8.510638298,0,9.2,8.1,-1.6,3.4
5.5,201307,-1.2,2.7,4.1,-29,-1,0.4,9.090909091,0.4,8.1,7.9,10.2,15.5
28.9,201308,-3.8,6,2.6,21,1,0,14.28571429,0.5,7.6,8.7,11.1,14
4.4,201309,2.2,8.3,3.8,19,0,-1.2,-13.04347826,0.5,11.6,7.6,13.9,14.9
-13.8,201310,-4.4,3,3.8,126,0,1,-8.474576271,0.6,12.8,10.7,14.1,13.6
7.7,201311,-1.8,8.4,1.9,-69,1,0.3,2.564102564,0.9,13.5,12.8,16.9,17.6
1.1,201312,-4,-1.9,1.1,-38,-1,0.7,-6.153846154,0.9,9.9,12.9,19.7,17
15,201401,1.3,12.7,1.1,-40,0,0.8,4.761904762,0.7,5.2,3.7,20.5,19
0.8,201402,-3.1,6.5,1,176,0,-0.2,-8.333333333,1.1,-0.2,-7.5,19.1,18.3
0.6,201403,-6.4,27,0.7,63,0,-2,-6.976744186,1.3,0.6,-17.7,23.6,18.1
3.3,201404,11.7,15.1,0.7,-72,0,0,0,2.9,-14.9,-22.8,20.6,11.3
4.1,201405,1.7,-7.5,5.9,34,1,0.5,7.547169811,3.1,-10.6,-7.5,20.7,9.2
2.6,201406,-3.1,-3.4,6.7,63,-1,0.3,-7.843137255,3,-5.3,-2.4,15.8,7.5
-4.8,201407,-5.5,-5.4,6.7,17,0,-0.3,-16.66666667,2.8,-1,-0.3,5.3,-5.9
3.8,201408,-4.7,5.5,-6.8,27,1,-1.5,-12.5,2.8,-3.8,-2.1,4.5,-1.3
19.7,201409,10.4,5.3,-7.1,-63,-1,-1.8,17.5,2.9,-5.4,-0.8,2.2,-2.5
10.5,201410,1.5,-3.5,-7.1,-33,0,-1.3,12.96296296,2.5,-7.8,-5.5,0.7,-2.4
1.9,201411,-2.2,-6,-1.6,51,2,1.3,2.5,2.1,-12,-7.9,1.4,-3.6
10.2,201412,5.4,-2.4,-1.9,53,-1,-0.5,18.03278689,2.1,-10.5,-10.8,-0.5,-5.3
